date,grid_0,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8
05 Jul 01:00,-0.351094071789,-0.352393072321,-0.350564078686,-0.351152818506,-0.353747902987,-0.350696502343,-0.354719049781,-0.370043803386,-0.354189490421
05 Jul 02:00,-0.425618468293,-0.426176070724,-0.425392901889,-0.424793975199,-0.426416528399,-0.4246739349,-0.428879627073,-0.44262963002,-0.428680325757
05 Jul 03:00,-0.510298894597,-0.510667644245,-0.510267251347,-0.509385158183,-0.510754587374,-0.509482844327,-0.513600690911,-0.526594782527,-0.513603037703
05 Jul 04:00,-0.580964414346,-0.581023137018,-0.581021178793,-0.579772742466,-0.580719710985,-0.579966108026,-0.584006652021,-0.595953255301,-0.584108967235
05 Jul 05:00,-0.553515809635,-0.552483004273,-0.553547385066,-0.550899742136,-0.550096361523,-0.550999724766,-0.554271706125,-0.560622477731,-0.554358600196
05 Jul 06:00,-0.457257035887,-0.454751709587,-0.457265329673,-0.449171215159,-0.44489496932,-0.449150223091,-0.443445725866,-0.425858290723,-0.444059605086
05 Jul 07:00,-0.178274569096,-0.173712477246,-0.177840704318,-0.166853373699,-0.159293879607,-0.165990254816,-0.158849399861,-0.130733706778,-0.159002122262
05 Jul 08:00,0.18140195264,0.186357011027,0.18171930006,0.195043678174,0.203437052922,0.19536833184,0.207657097331,0.241784054499,0.204176238098
05 Jul 09:00,0.297139076873,0.300216656446,0.297126587021,0.311896838686,0.318545280888,0.310773005111,0.339415781451,0.383379179746,0.326369185485
05 Jul 10:00,0.372657593941,0.375627034416,0.372683935097,0.390470231454,0.397150571639,0.387823415095,0.438070932809,0.496962504178,0.409621024106
05 Jul 11:00,0.445440369699,0.450184993973,0.446076683699,0.467925811027,0.478383585713,0.465020361337,0.539828065626,0.626786642025,0.495698367639
05 Jul 12:00,0.537945268706,0.543801043792,0.538580421323,0.56375887267,0.579791721998,0.561789034978,0.661785016799,0.825205959695,0.606776414639
05 Jul 13:00,0.591609892727,0.599633854939,0.594761566194,0.619243689454,0.641329066634,0.622224121191,0.715530056971,0.943719136541,0.689518681764
