0,1,2,3,4,5,6,7,8,hoy
-1.3309556,-1.3108263,-1.3328449,-1.3507867,-1.3052362,-1.341354,-1.3184221,-1.2977285,-1.3034503,7256
-1.387857,-1.400728,-1.3880994,-1.3969853,-1.3724161,-1.380687,-1.2384584,-1.2752316,-1.3542467,8289
-2.1091468,-2.10917,-2.1145551,-2.1087985,-2.1115172,-2.1035364,-2.1221137,-2.1187212,-2.1353226,7366
-0.35001603,-0.33934736,-0.3339483,-0.3470456,-0.34051716,-0.35411456,-0.37633118,-0.37222752,-0.31404984,3720
-0.28650716,-0.2870606,-0.28905413,-0.330598,-0.28171962,-0.26082024,-0.34212893,-0.3201205,-0.29972512,7121
-0.49172062,-0.48528996,-0.504703,-0.48424658,-0.45293063,-0.48348752,-0.46177348,-0.38794145,-0.5045513,3105
-2.4521134,-2.4602802,-2.4402092,-2.4628599,-2.4537594,-2.4503632,-2.465943,-2.4591727,-2.4285693,594
-2.7280412,-2.6998498,-2.7162988,-2.6877723,-2.71784,-2.7087796,-2.7082617,-2.75842,-2.6969583,1680
-2.507428,-2.5336468,-2.4882553,-2.558378,-2.460296,-2.4650302,-2.54679,-2.5194817,-2.4934354,831
-0.7617148,-0.74375874,-0.75159645,-0.75661016,-0.7673205,-0.7308259,-0.78318095,-0.79746866,-0.7674484,3045
-2.4413667,-2.442806,-2.4538906,-2.4542644,-2.4365153,-2.4494505,-2.470869,-2.4305267,-2.4571073,315
-2.430777,-2.4453964,-2.43964,-2.4531212,-2.4359381,-2.4219804,-2.4851582,-2.4863625,-2.4320009,6724
0.25837693,0.2845212,0.27886903,0.3016436,0.2975437,0.31636414,0.3168339,0.59945464,0.53639483,5871
-1.5879096,-1.5847397,-1.5910349,-1.6002462,-1.5923642,-1.5626662,-1.6173353,-1.5923703,-1.5688211,5948
0.17919248,0.19317979,0.18761875,0.19264928,0.18596138,0.19453129,0.1909293,0.30747464,0.37945837,3977
0.27549723,0.29175878,0.27879107,0.29098475,0.3157124,0.31524748,0.30772725,0.44870707,0.35670623,4956
-1.892873,-1.8725777,-1.8725246,-1.9195243,-1.908134,-1.915489,-1.933786,-1.9486706,-1.9007694,7736
-2.295598,-2.3159726,-2.320269,-2.352264,-2.3037639,-2.3208888,-2.3680363,-2.361264,-2.302979,2022
0.16332662,0.16067433,0.17865552,0.12845066,0.18341659,0.17926618,0.11838153,0.1533873,0.1398403,6307
0.79310715,0.81533045,0.9114459,0.84399843,0.9553692,1.0645113,0.767682,1.0140619,1.0243381,6952
-2.7912874,-2.7931721,-2.784737,-2.7767146,-2.7873454,-2.769614,-2.7671187,-2.7971327,-2.733911,511
0.32948193,0.34960353,0.31142443,0.35306838,0.35396916,0.32492977,0.47093534,0.6443478,0.5001508,3662
-1.0908511,-1.0861028,-1.1101118,-1.0507185,-1.0983375,-1.0930268,-1.0410484,-1.0843064,-1.103426,6242
-1.9112728,-1.9312634,-1.9301836,-1.9218976,-1.9265866,-1.9241288,-1.8814037,-1.9173645,-1.9485465,7938
-2.259942,-2.2423418,-2.2501466,-2.238579,-2.2555954,-2.2435548,-2.2826364,-2.2676084,-2.2171595,8167
-0.3742923,-0.30904424,-0.36355048,-0.28927627,-0.34196132,-0.3829396,-0.29913568,-0.30895412,-0.31816387,3393
-2.7093859,-2.7141824,-2.7137203,-2.7103045,-2.7174025,-2.7149434,-2.762122,-2.7677133,-2.6781619,8330
0.1229772,0.08751285,0.09153941,0.09623,0.10958731,0.083149485,0.15485147,0.08317946,0.047280952,4512
-1.9914097,-2.0058365,-2.019048,-2.0088024,-1.9887797,-1.9768522,-2.0123253,-2.0163274,-2.031541,6435
-0.96117306,-0.9299082,-0.927248,-0.95101106,-0.93047464,-0.966263,-0.9382391,-0.89694446,-0.9042766,6006
-2.945982,-2.9662778,-2.9531639,-2.9819424,-2.9515197,-2.957333,-2.9418766,-3.007291,-2.9799492,8063
